Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-01-28 0:00:00,11,8,40,50,150,225
2018-01-28 1:00:00,1,4,80,150,750,150
2018-01-28 2:00:00,-11,8,120,250,300,375
2018-01-28 3:00:00,14,10,80,150,300,75
2018-01-28 4:00:00,11,10,160,50,600,75
2018-01-28 5:00:00,-17,2,80,50,300,150
2018-01-28 6:00:00,9,8,120,150,150,150
2018-01-28 7:00:00,9,10,80,250,600,300
2018-01-28 8:00:00,7,6,120,200,300,150
2018-01-28 9:00:00,7,8,80,150,150,150
2018-01-28 10:00:00,14,8,120,100,450,300
2018-01-28 11:00:00,2,8,120,50,300,375
2018-01-28 12:00:00,-15,2,40,100,300,225
2018-01-28 13:00:00,15,4,80,50,750,225
2018-01-28 14:00:00,-10,2,160,250,150,375
2018-01-28 15:00:00,-18,10,80,150,300,300
2018-01-28 16:00:00,-11,2,200,250,300,225
2018-01-28 17:00:00,0,6,80,250,300,375
2018-01-28 18:00:00,-19,10,160,100,600,300
2018-01-28 19:00:00,16,2,200,150,300,75
2018-01-28 20:00:00,17,2,160,250,750,300
2018-01-28 21:00:00,13,2,120,50,300,150
2018-01-28 22:00:00,-6,10,120,200,750,75
2018-01-28 23:00:00,8,8,80,50,600,225
