Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-01-08 0:00:00,0,10,120,100,450,300
2018-01-08 1:00:00,-13,4,40,150,150,150
2018-01-08 2:00:00,-18,6,80,50,450,225
2018-01-08 3:00:00,1,8,120,150,600,150
2018-01-08 4:00:00,-5,8,160,150,150,225
2018-01-08 5:00:00,-4,2,40,150,150,150
2018-01-08 6:00:00,-13,8,40,100,450,150
2018-01-08 7:00:00,14,8,120,200,150,150
2018-01-08 8:00:00,16,6,200,150,150,300
2018-01-08 9:00:00,-15,4,200,100,750,75
2018-01-08 10:00:00,-12,10,160,50,600,150
2018-01-08 11:00:00,7,8,120,100,300,300
2018-01-08 12:00:00,18,6,160,50,300,225
2018-01-08 13:00:00,14,10,200,100,600,300
2018-01-08 14:00:00,0,6,80,250,300,225
2018-01-08 15:00:00,0,8,160,200,750,150
2018-01-08 16:00:00,1,4,120,100,300,75
2018-01-08 17:00:00,-5,8,160,250,300,225
2018-01-08 18:00:00,2,2,200,200,450,150
2018-01-08 19:00:00,11,6,40,150,600,225
2018-01-08 20:00:00,-2,4,160,250,150,225
2018-01-08 21:00:00,-11,6,40,150,600,150
2018-01-08 22:00:00,-10,10,120,150,450,375
2018-01-08 23:00:00,0,8,40,250,750,75
