Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-03-07 0:00:00,-13,2,120,150,750,75
2018-03-07 1:00:00,-3,6,120,250,150,375
2018-03-07 2:00:00,3,8,200,150,150,75
2018-03-07 3:00:00,7,4,200,100,750,75
2018-03-07 4:00:00,17,10,120,250,300,300
2018-03-07 5:00:00,1,8,40,50,600,75
2018-03-07 6:00:00,14,4,80,200,750,75
2018-03-07 7:00:00,0,4,40,150,750,225
2018-03-07 8:00:00,4,2,120,50,600,150
2018-03-07 9:00:00,-8,8,200,150,450,300
2018-03-07 10:00:00,4,10,160,200,450,225
2018-03-07 11:00:00,3,6,200,200,750,150
2018-03-07 12:00:00,-2,2,40,150,450,225
2018-03-07 13:00:00,-2,10,200,250,450,300
2018-03-07 14:00:00,14,8,40,150,300,225
2018-03-07 15:00:00,15,6,80,150,750,225
2018-03-07 16:00:00,8,2,80,250,600,75
2018-03-07 17:00:00,-11,8,80,100,150,150
2018-03-07 18:00:00,4,8,80,150,300,75
2018-03-07 19:00:00,2,4,120,200,450,300
2018-03-07 20:00:00,-17,6,200,100,600,75
2018-03-07 21:00:00,-18,2,80,150,300,375
2018-03-07 22:00:00,-3,10,40,100,300,150
2018-03-07 23:00:00,19,6,40,250,600,300
