Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-12-05 0:00:00,-15,10,160,200,450,225
2018-12-05 1:00:00,-4,4,40,50,450,375
2018-12-05 2:00:00,17,8,160,250,750,225
2018-12-05 3:00:00,-19,10,40,50,750,150
2018-12-05 4:00:00,7,10,120,150,750,75
2018-12-05 5:00:00,0,4,120,250,750,300
2018-12-05 6:00:00,16,10,120,50,450,375
2018-12-05 7:00:00,-13,8,80,200,600,225
2018-12-05 8:00:00,-19,2,80,250,600,300
2018-12-05 9:00:00,11,6,200,250,150,225
2018-12-05 10:00:00,-5,8,160,100,750,375
2018-12-05 11:00:00,-9,10,120,250,750,225
2018-12-05 12:00:00,-4,4,80,150,750,75
2018-12-05 13:00:00,-15,8,120,50,600,225
2018-12-05 14:00:00,-18,4,80,250,150,150
2018-12-05 15:00:00,-3,6,200,150,150,75
2018-12-05 16:00:00,-17,6,200,50,300,375
2018-12-05 17:00:00,18,2,160,150,150,75
2018-12-05 18:00:00,18,10,80,50,300,75
2018-12-05 19:00:00,15,4,80,50,300,75
2018-12-05 20:00:00,12,2,80,250,150,300
2018-12-05 21:00:00,1,8,200,150,300,75
2018-12-05 22:00:00,-1,2,160,150,300,375
2018-12-05 23:00:00,4,10,160,150,300,375
