Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-10-06 0:00:00,7,4,200,100,300,225
2018-10-06 1:00:00,15,4,80,100,300,375
2018-10-06 2:00:00,-10,2,160,250,300,225
2018-10-06 3:00:00,-2,8,120,100,600,300
2018-10-06 4:00:00,-4,8,40,200,450,75
2018-10-06 5:00:00,-17,10,80,150,750,300
2018-10-06 6:00:00,15,10,160,150,450,300
2018-10-06 7:00:00,-16,2,160,250,450,75
2018-10-06 8:00:00,3,4,80,150,750,225
2018-10-06 9:00:00,18,10,40,150,300,375
2018-10-06 10:00:00,-8,4,40,250,600,75
2018-10-06 11:00:00,-12,10,200,200,750,150
2018-10-06 12:00:00,8,6,120,100,150,225
2018-10-06 13:00:00,9,4,200,200,150,75
2018-10-06 14:00:00,-10,2,80,250,600,225
2018-10-06 15:00:00,0,8,40,50,600,375
2018-10-06 16:00:00,3,8,80,150,150,150
2018-10-06 17:00:00,10,10,200,250,600,225
2018-10-06 18:00:00,-10,4,160,150,750,300
2018-10-06 19:00:00,-10,2,80,200,750,375
2018-10-06 20:00:00,19,8,200,100,750,225
2018-10-06 21:00:00,-11,6,120,200,150,150
2018-10-06 22:00:00,2,4,80,200,300,75
2018-10-06 23:00:00,-4,6,160,100,450,75
