Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-06-16 0:00:00,16,2,120,100,750,375
2018-06-16 1:00:00,18,2,200,100,150,150
2018-06-16 2:00:00,-12,4,160,100,600,225
2018-06-16 3:00:00,-14,8,80,200,600,75
2018-06-16 4:00:00,-13,8,200,200,600,150
2018-06-16 5:00:00,-1,10,160,200,450,300
2018-06-16 6:00:00,19,6,120,50,300,150
2018-06-16 7:00:00,18,2,160,150,150,300
2018-06-16 8:00:00,-3,2,200,200,600,150
2018-06-16 9:00:00,7,4,120,50,150,300
2018-06-16 10:00:00,-3,8,200,100,300,150
2018-06-16 11:00:00,17,6,80,50,600,75
2018-06-16 12:00:00,-8,2,40,150,150,375
2018-06-16 13:00:00,-19,2,160,50,600,75
2018-06-16 14:00:00,0,6,200,200,600,375
2018-06-16 15:00:00,-10,6,160,50,450,150
2018-06-16 16:00:00,-13,6,160,100,150,150
2018-06-16 17:00:00,0,2,40,250,150,225
2018-06-16 18:00:00,-13,4,200,200,300,375
2018-06-16 19:00:00,-7,6,200,50,450,300
2018-06-16 20:00:00,-10,10,200,100,300,300
2018-06-16 21:00:00,-9,2,40,250,600,75
2018-06-16 22:00:00,6,10,160,250,300,75
2018-06-16 23:00:00,7,4,120,250,750,75
