Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-10-31 0:00:00,-17,8,200,200,300,150
2018-10-31 1:00:00,0,10,80,50,150,300
2018-10-31 2:00:00,9,10,200,100,600,225
2018-10-31 3:00:00,3,2,120,250,150,150
2018-10-31 4:00:00,10,4,120,100,750,300
2018-10-31 5:00:00,-9,2,80,50,750,225
2018-10-31 6:00:00,9,6,40,250,150,375
2018-10-31 7:00:00,1,6,80,100,300,375
2018-10-31 8:00:00,5,4,40,50,450,150
2018-10-31 9:00:00,11,10,160,100,150,150
2018-10-31 10:00:00,2,2,160,150,600,150
2018-10-31 11:00:00,-5,8,80,250,300,300
2018-10-31 12:00:00,18,4,160,150,450,150
2018-10-31 13:00:00,18,8,40,200,600,300
2018-10-31 14:00:00,-14,2,200,200,150,75
2018-10-31 15:00:00,0,6,120,150,150,75
2018-10-31 16:00:00,-2,2,120,100,750,375
2018-10-31 17:00:00,1,4,80,50,600,375
2018-10-31 18:00:00,-6,10,160,150,750,375
2018-10-31 19:00:00,-6,4,40,50,300,300
2018-10-31 20:00:00,13,8,200,50,450,375
2018-10-31 21:00:00,6,2,120,150,750,75
2018-10-31 22:00:00,0,4,120,50,450,375
2018-10-31 23:00:00,6,8,120,200,300,300
