Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-12-22 0:00:00,-4,10,160,100,600,150
2018-12-22 1:00:00,-18,8,80,150,600,75
2018-12-22 2:00:00,10,4,80,100,450,225
2018-12-22 3:00:00,0,6,120,250,300,225
2018-12-22 4:00:00,6,6,40,100,300,150
2018-12-22 5:00:00,18,10,200,50,600,375
2018-12-22 6:00:00,-11,10,160,250,750,375
2018-12-22 7:00:00,-7,4,40,200,150,300
2018-12-22 8:00:00,-1,6,120,250,750,75
2018-12-22 9:00:00,15,2,120,200,150,225
2018-12-22 10:00:00,2,10,80,50,300,300
2018-12-22 11:00:00,-15,10,80,150,150,150
2018-12-22 12:00:00,0,6,80,250,450,150
2018-12-22 13:00:00,-9,2,80,50,750,300
2018-12-22 14:00:00,10,8,200,200,750,75
2018-12-22 15:00:00,15,4,160,200,150,300
2018-12-22 16:00:00,-3,10,80,100,750,150
2018-12-22 17:00:00,-11,6,160,150,300,375
2018-12-22 18:00:00,1,4,40,200,300,150
2018-12-22 19:00:00,1,2,40,100,600,75
2018-12-22 20:00:00,-13,6,160,100,300,300
2018-12-22 21:00:00,8,10,80,250,300,300
2018-12-22 22:00:00,-12,6,200,200,750,300
2018-12-22 23:00:00,3,4,200,50,150,375
