Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-05-22 0:00:00,17,10,80,100,300,375
2018-05-22 1:00:00,15,4,80,200,600,300
2018-05-22 2:00:00,-8,8,200,100,600,150
2018-05-22 3:00:00,-13,2,160,200,300,300
2018-05-22 4:00:00,7,2,160,50,150,225
2018-05-22 5:00:00,17,2,200,100,450,75
2018-05-22 6:00:00,-19,2,160,50,150,375
2018-05-22 7:00:00,18,8,40,50,600,225
2018-05-22 8:00:00,1,4,200,150,600,375
2018-05-22 9:00:00,-11,4,200,50,600,300
2018-05-22 10:00:00,5,8,200,100,150,150
2018-05-22 11:00:00,0,6,160,250,300,300
2018-05-22 12:00:00,14,10,160,250,600,225
2018-05-22 13:00:00,15,4,200,150,750,300
2018-05-22 14:00:00,-14,4,200,150,450,150
2018-05-22 15:00:00,-14,4,120,100,750,75
2018-05-22 16:00:00,9,2,40,150,150,300
2018-05-22 17:00:00,19,8,160,200,150,75
2018-05-22 18:00:00,-10,4,80,250,300,150
2018-05-22 19:00:00,5,6,80,250,750,75
2018-05-22 20:00:00,4,8,80,200,150,300
2018-05-22 21:00:00,12,6,40,100,450,375
2018-05-22 22:00:00,-15,10,120,150,450,300
2018-05-22 23:00:00,-14,10,120,100,600,75
