Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-04-05 0:00:00,-1,8,40,150,750,150
2018-04-05 1:00:00,11,4,40,100,450,75
2018-04-05 2:00:00,3,6,160,150,300,150
2018-04-05 3:00:00,3,2,80,250,750,375
2018-04-05 4:00:00,2,6,80,150,300,150
2018-04-05 5:00:00,-5,10,200,250,600,375
2018-04-05 6:00:00,-14,10,200,100,300,300
2018-04-05 7:00:00,-1,4,120,200,450,375
2018-04-05 8:00:00,19,4,120,250,600,300
2018-04-05 9:00:00,-5,4,80,50,600,150
2018-04-05 10:00:00,14,4,160,50,750,75
2018-04-05 11:00:00,19,10,40,200,750,150
2018-04-05 12:00:00,-3,2,120,100,150,375
2018-04-05 13:00:00,12,8,200,50,750,225
2018-04-05 14:00:00,9,4,80,50,600,300
2018-04-05 15:00:00,-12,2,160,100,600,225
2018-04-05 16:00:00,-2,2,80,250,150,300
2018-04-05 17:00:00,-17,6,40,200,150,225
2018-04-05 18:00:00,-12,4,80,100,150,75
2018-04-05 19:00:00,-6,4,40,250,600,150
2018-04-05 20:00:00,-8,6,40,250,300,225
2018-04-05 21:00:00,8,4,120,250,450,300
2018-04-05 22:00:00,-14,10,160,100,150,150
2018-04-05 23:00:00,14,6,40,250,750,375
