Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-08-03 0:00:00,10,6,200,250,300,150
2018-08-03 1:00:00,-14,2,40,250,300,300
2018-08-03 2:00:00,-18,8,40,150,450,75
2018-08-03 3:00:00,10,6,160,100,450,150
2018-08-03 4:00:00,-19,2,160,250,300,375
2018-08-03 5:00:00,4,4,120,100,450,225
2018-08-03 6:00:00,-6,10,200,50,450,375
2018-08-03 7:00:00,-4,2,80,50,600,75
2018-08-03 8:00:00,14,10,160,100,750,150
2018-08-03 9:00:00,9,10,40,100,150,225
2018-08-03 10:00:00,4,6,80,200,450,150
2018-08-03 11:00:00,13,2,160,150,150,225
2018-08-03 12:00:00,8,8,120,150,300,75
2018-08-03 13:00:00,11,4,120,100,300,225
2018-08-03 14:00:00,16,6,160,50,600,150
2018-08-03 15:00:00,0,2,160,250,750,375
2018-08-03 16:00:00,-14,10,120,250,750,300
2018-08-03 17:00:00,19,8,200,50,300,150
2018-08-03 18:00:00,8,10,120,100,750,225
2018-08-03 19:00:00,11,10,40,50,150,300
2018-08-03 20:00:00,11,6,200,150,450,225
2018-08-03 21:00:00,-3,10,200,50,450,375
2018-08-03 22:00:00,-9,2,40,50,150,375
2018-08-03 23:00:00,16,10,200,250,450,300
