Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-10-25 0:00:00,6,10,80,150,300,300
2018-10-25 1:00:00,-16,6,40,100,750,150
2018-10-25 2:00:00,17,10,160,150,450,150
2018-10-25 3:00:00,-8,6,160,200,600,150
2018-10-25 4:00:00,3,6,120,200,300,75
2018-10-25 5:00:00,-18,8,160,200,600,375
2018-10-25 6:00:00,-15,10,80,50,750,150
2018-10-25 7:00:00,-2,6,160,150,450,375
2018-10-25 8:00:00,15,8,200,250,150,225
2018-10-25 9:00:00,-7,10,200,100,750,375
2018-10-25 10:00:00,5,8,80,50,450,300
2018-10-25 11:00:00,0,6,40,200,300,225
2018-10-25 12:00:00,-11,6,40,150,600,75
2018-10-25 13:00:00,-12,10,40,250,600,300
2018-10-25 14:00:00,-12,10,80,150,600,300
2018-10-25 15:00:00,13,10,40,100,750,75
2018-10-25 16:00:00,-6,2,120,150,450,375
2018-10-25 17:00:00,9,2,160,100,300,75
2018-10-25 18:00:00,8,6,80,50,750,150
2018-10-25 19:00:00,3,2,200,150,750,75
2018-10-25 20:00:00,16,10,40,200,450,150
2018-10-25 21:00:00,19,8,80,200,300,225
2018-10-25 22:00:00,13,4,200,250,300,150
2018-10-25 23:00:00,1,10,80,200,450,150
