Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-08-07 0:00:00,2,6,120,200,750,150
2018-08-07 1:00:00,-18,6,200,100,750,300
2018-08-07 2:00:00,8,10,160,150,450,375
2018-08-07 3:00:00,4,4,120,100,450,300
2018-08-07 4:00:00,-18,10,200,200,300,375
2018-08-07 5:00:00,14,4,200,250,450,75
2018-08-07 6:00:00,18,6,40,150,750,150
2018-08-07 7:00:00,-4,6,120,50,300,150
2018-08-07 8:00:00,14,6,120,50,450,150
2018-08-07 9:00:00,-12,4,80,250,750,75
2018-08-07 10:00:00,-2,8,80,250,600,225
2018-08-07 11:00:00,-11,10,80,150,150,300
2018-08-07 12:00:00,15,2,40,100,300,75
2018-08-07 13:00:00,5,8,80,200,150,150
2018-08-07 14:00:00,-4,2,160,150,150,225
2018-08-07 15:00:00,-12,6,160,250,300,300
2018-08-07 16:00:00,18,4,80,100,600,75
2018-08-07 17:00:00,-19,4,160,200,450,225
2018-08-07 18:00:00,-17,6,120,50,750,300
2018-08-07 19:00:00,-11,2,40,100,600,225
2018-08-07 20:00:00,0,8,120,200,300,75
2018-08-07 21:00:00,11,6,120,50,300,150
2018-08-07 22:00:00,-19,10,160,200,600,150
2018-08-07 23:00:00,10,6,160,100,600,375
