Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-11-09 0:00:00,17,6,120,150,300,375
2018-11-09 1:00:00,19,4,200,200,150,75
2018-11-09 2:00:00,16,2,160,200,150,150
2018-11-09 3:00:00,0,6,200,250,450,300
2018-11-09 4:00:00,-13,4,80,200,150,375
2018-11-09 5:00:00,10,8,40,200,300,75
2018-11-09 6:00:00,6,8,200,250,150,375
2018-11-09 7:00:00,3,8,40,100,750,375
2018-11-09 8:00:00,4,2,120,100,750,150
2018-11-09 9:00:00,-14,8,160,50,750,75
2018-11-09 10:00:00,-10,6,120,200,150,225
2018-11-09 11:00:00,17,6,120,150,300,75
2018-11-09 12:00:00,-14,4,120,100,150,225
2018-11-09 13:00:00,-5,4,40,150,150,300
2018-11-09 14:00:00,-17,6,200,200,750,375
2018-11-09 15:00:00,13,4,200,50,750,375
2018-11-09 16:00:00,8,6,200,250,300,300
2018-11-09 17:00:00,-11,10,120,100,750,150
2018-11-09 18:00:00,6,6,200,150,750,300
2018-11-09 19:00:00,-17,10,40,50,450,300
2018-11-09 20:00:00,-10,2,160,250,150,300
2018-11-09 21:00:00,16,2,80,150,450,75
2018-11-09 22:00:00,-19,2,120,50,450,225
2018-11-09 23:00:00,17,8,120,100,450,75
