Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-04-04 0:00:00,-4,8,40,100,750,225
2018-04-04 1:00:00,-17,6,160,100,600,225
2018-04-04 2:00:00,-6,2,80,50,300,75
2018-04-04 3:00:00,12,10,40,250,600,75
2018-04-04 4:00:00,10,8,120,200,300,150
2018-04-04 5:00:00,7,2,40,100,300,300
2018-04-04 6:00:00,18,10,160,50,150,300
2018-04-04 7:00:00,11,6,40,150,300,225
2018-04-04 8:00:00,18,4,160,200,600,225
2018-04-04 9:00:00,17,4,200,250,750,300
2018-04-04 10:00:00,-1,4,80,50,600,75
2018-04-04 11:00:00,11,4,200,150,450,75
2018-04-04 12:00:00,10,6,200,250,750,375
2018-04-04 13:00:00,-7,2,40,50,600,375
2018-04-04 14:00:00,2,10,200,150,600,75
2018-04-04 15:00:00,0,2,120,250,450,225
2018-04-04 16:00:00,-7,4,80,250,750,150
2018-04-04 17:00:00,7,4,40,250,750,150
2018-04-04 18:00:00,8,10,80,150,300,300
2018-04-04 19:00:00,4,10,40,200,600,75
2018-04-04 20:00:00,0,4,120,250,300,375
2018-04-04 21:00:00,-11,6,200,50,150,225
2018-04-04 22:00:00,6,8,200,150,300,225
2018-04-04 23:00:00,-18,2,160,100,750,225
