Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-12-26 0:00:00,16,2,80,200,600,225
2018-12-26 1:00:00,-15,4,160,100,300,300
2018-12-26 2:00:00,0,6,160,200,150,300
2018-12-26 3:00:00,-15,2,120,100,450,225
2018-12-26 4:00:00,10,4,40,100,300,375
2018-12-26 5:00:00,-19,2,40,200,600,375
2018-12-26 6:00:00,-5,4,40,100,750,150
2018-12-26 7:00:00,-18,2,80,100,150,300
2018-12-26 8:00:00,-5,10,200,100,450,375
2018-12-26 9:00:00,-6,4,160,100,750,300
2018-12-26 10:00:00,10,4,200,100,600,300
2018-12-26 11:00:00,-7,2,120,150,300,150
2018-12-26 12:00:00,0,10,80,200,750,375
2018-12-26 13:00:00,13,6,160,200,600,375
2018-12-26 14:00:00,8,6,120,50,450,225
2018-12-26 15:00:00,2,6,200,250,450,300
2018-12-26 16:00:00,-7,4,160,100,450,225
2018-12-26 17:00:00,15,6,40,50,300,375
2018-12-26 18:00:00,-10,6,160,200,300,375
2018-12-26 19:00:00,0,10,160,50,300,300
2018-12-26 20:00:00,-15,10,160,250,600,150
2018-12-26 21:00:00,18,2,200,50,450,225
2018-12-26 22:00:00,-12,8,120,250,300,150
2018-12-26 23:00:00,4,6,160,150,300,225
