Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-11-03 0:00:00,-4,2,40,50,750,375
2018-11-03 1:00:00,-11,10,80,50,300,300
2018-11-03 2:00:00,9,4,80,50,600,225
2018-11-03 3:00:00,14,6,120,200,750,75
2018-11-03 4:00:00,17,4,200,250,600,225
2018-11-03 5:00:00,-17,8,40,150,300,75
2018-11-03 6:00:00,-1,4,80,150,300,300
2018-11-03 7:00:00,6,4,80,250,750,375
2018-11-03 8:00:00,4,10,160,50,150,225
2018-11-03 9:00:00,-1,6,160,200,450,225
2018-11-03 10:00:00,5,2,160,100,750,375
2018-11-03 11:00:00,-5,8,120,100,450,300
2018-11-03 12:00:00,-18,4,80,50,750,225
2018-11-03 13:00:00,-1,4,200,50,150,75
2018-11-03 14:00:00,19,10,160,200,150,150
2018-11-03 15:00:00,-18,4,80,250,450,300
2018-11-03 16:00:00,1,10,40,200,750,300
2018-11-03 17:00:00,15,8,160,100,750,375
2018-11-03 18:00:00,14,2,80,50,750,225
2018-11-03 19:00:00,4,6,40,50,300,150
2018-11-03 20:00:00,17,2,120,150,150,300
2018-11-03 21:00:00,12,2,200,150,300,225
2018-11-03 22:00:00,-12,2,160,250,150,225
2018-11-03 23:00:00,-12,10,80,100,450,300
