Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-06-30 0:00:00,16,2,160,100,750,150
2018-06-30 1:00:00,-12,6,200,150,450,150
2018-06-30 2:00:00,13,6,200,100,450,375
2018-06-30 3:00:00,-7,8,120,150,450,300
2018-06-30 4:00:00,12,10,120,100,150,75
2018-06-30 5:00:00,-18,8,80,150,600,375
2018-06-30 6:00:00,-2,2,160,100,300,300
2018-06-30 7:00:00,14,4,40,200,300,300
2018-06-30 8:00:00,-7,2,40,100,150,225
2018-06-30 9:00:00,-4,10,120,50,300,75
2018-06-30 10:00:00,-10,4,160,250,600,75
2018-06-30 11:00:00,13,2,80,100,750,300
2018-06-30 12:00:00,9,10,160,250,750,150
2018-06-30 13:00:00,-14,6,120,100,150,225
2018-06-30 14:00:00,19,2,120,100,450,225
2018-06-30 15:00:00,6,6,160,150,450,75
2018-06-30 16:00:00,15,8,120,250,300,225
2018-06-30 17:00:00,-8,8,200,200,150,75
2018-06-30 18:00:00,7,4,120,100,600,75
2018-06-30 19:00:00,-10,6,80,150,300,375
2018-06-30 20:00:00,10,8,40,150,150,300
2018-06-30 21:00:00,18,8,80,250,600,375
2018-06-30 22:00:00,-16,10,160,200,750,150
2018-06-30 23:00:00,11,10,80,100,600,75
