Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-08-17 0:00:00,15,2,120,200,600,300
2018-08-17 1:00:00,2,6,40,50,450,150
2018-08-17 2:00:00,-8,2,120,50,600,375
2018-08-17 3:00:00,8,6,200,250,300,300
2018-08-17 4:00:00,5,2,40,50,600,150
2018-08-17 5:00:00,1,4,160,150,600,225
2018-08-17 6:00:00,-6,8,120,100,150,75
2018-08-17 7:00:00,3,6,80,50,450,375
2018-08-17 8:00:00,-14,8,80,100,600,300
2018-08-17 9:00:00,-12,2,80,50,450,375
2018-08-17 10:00:00,15,2,160,250,450,75
2018-08-17 11:00:00,7,6,160,150,300,300
2018-08-17 12:00:00,9,8,80,200,450,75
2018-08-17 13:00:00,8,4,160,50,300,75
2018-08-17 14:00:00,-16,10,120,150,600,225
2018-08-17 15:00:00,-6,2,40,150,450,75
2018-08-17 16:00:00,-12,8,40,50,750,375
2018-08-17 17:00:00,-18,8,120,100,450,375
2018-08-17 18:00:00,-2,10,120,50,750,225
2018-08-17 19:00:00,-4,2,40,150,150,150
2018-08-17 20:00:00,11,10,120,100,600,75
2018-08-17 21:00:00,-18,6,120,150,450,300
2018-08-17 22:00:00,-10,4,120,100,450,300
2018-08-17 23:00:00,8,8,200,100,300,225
