Date,Temp,CO,NO2,SO2,PM10,PM2_5
2018-07-12 0:00:00,-14,4,200,100,150,225
2018-07-12 1:00:00,8,8,120,200,300,225
2018-07-12 2:00:00,-4,2,120,100,150,225
2018-07-12 3:00:00,13,2,160,50,450,300
2018-07-12 4:00:00,13,4,160,200,750,150
2018-07-12 5:00:00,2,10,120,150,300,225
2018-07-12 6:00:00,14,2,160,50,600,300
2018-07-12 7:00:00,13,2,200,100,750,375
2018-07-12 8:00:00,0,8,200,200,450,150
2018-07-12 9:00:00,14,8,120,250,300,75
2018-07-12 10:00:00,-8,2,80,150,450,225
2018-07-12 11:00:00,10,6,200,250,450,375
2018-07-12 12:00:00,15,10,200,100,150,225
2018-07-12 13:00:00,-4,10,40,200,750,225
2018-07-12 14:00:00,-11,8,120,50,600,225
2018-07-12 15:00:00,-7,4,40,200,750,150
2018-07-12 16:00:00,17,6,120,250,150,375
2018-07-12 17:00:00,15,8,40,200,150,75
2018-07-12 18:00:00,6,6,80,250,150,375
2018-07-12 19:00:00,3,8,160,100,750,375
2018-07-12 20:00:00,16,2,200,50,450,150
2018-07-12 21:00:00,-1,8,120,250,750,150
2018-07-12 22:00:00,19,10,120,150,600,300
2018-07-12 23:00:00,19,2,40,100,450,300
